"Langue";"Unité";"Thème";"Mot / expression (à valider)";"Français";"Type";"Emprunt";"Mot amazigh classique";"Origine (dictionnaire)";"Fichier audio à enregistrer";"Leçons";"Correction proposée";"OK ?"
"Kabyle";"Unité 6";"Les couleurs — Initen";"Amellal";"Blanc";"mot";"";"";"amazigh";"amellal.mp3";"l22 l23";"";""
"Kabyle";"Unité 13";"Parler & agir";"Anda telliḍ ?";"Où es-tu ?";"expression";"";"";"amazigh";"anda-tellid.mp3";"l44";"";""
"Kabyle";"Unité 14";"Au travail — Axeddim";"Anda txeddmeḍ ?";"Où travailles-tu ?";"expression";"";"";"amazigh";"anda-txeddmed.mp3";"l48 l49";"";""
"Kabyle";"Unité 14";"Au travail — Axeddim";"Anelmad";"L’élève";"mot";"";"";"neo";"anelmad.mp3";"l47";"";""
"Kabyle";"Unité 1";"Les salutations — Azul !";"Ansuf";"Bienvenue";"mot";"";"";"amazigh";"ansuf.mp3";"l1 l4 l5 l8 l9";"";""
"Kabyle";"Unité 4";"La famille & les phrases";"Ansuf yes-k";"Bienvenue à toi";"expression";"";"";"amazigh";"ansuf-yes-k.mp3";"l16";"";""
"Kabyle";"Unité 11";"Le corps & les gens";"Aqcic";"Garçon";"mot";"";"";"amazigh";"aqcic.mp3";"l37 l38";"";""
"Kabyle";"Unité 11";"Le corps & les gens";"Aqerruy";"Tête";"mot";"";"";"amazigh";"aqerruy.mp3";"l36 l38";"";""
"Kabyle";"Unité 4";"La famille & les phrases";"Aql-i labas";"Je vais bien";"expression";"arabe";"";"amazigh";"aql-i-labas.mp3";"l16";"";""
"Kabyle";"Unité 1";"Les salutations — Azul !";"Ar tufat";"À demain";"expression";"";"";"amazigh";"ar-tufat.mp3";"l3 l5 l7 l9";"";""
"Kabyle";"Unité 11";"Le corps & les gens";"Argaz";"Homme";"mot";"";"";"amazigh";"argaz.mp3";"l37 l38";"";""
"Kabyle";"Unité 15";"Au sport — Addal";"Arrac";"Les enfants";"mot";"";"";"amazigh";"arrac.mp3";"l52";"";""
"Kabyle";"Unité 13";"Parler & agir";"As-d !";"Viens !";"expression";"";"";"amazigh";"as-d.mp3";"l43 l45";"";""
"Kabyle";"Unité 14";"Au travail — Axeddim";"Aselmad";"L’enseignant";"mot";"";"";"neo";"aselmad.mp3";"l47 l49";"";""
"Kabyle";"Unité 8";"La météo — Tignewt";"Asigna";"Nuage";"mot";"";"";"amazigh";"asigna.mp3";"l28 l29";"";""
"Kabyle";"Unité 12";"Le temps qui passe";"Ass";"Jour";"mot";"";"";"amazigh";"ass.mp3";"l39";"";""
"Kabyle";"Unité 12";"Le temps qui passe";"Ass-a";"Aujourd’hui";"mot";"";"";"amazigh";"ass-a.mp3";"l39 l45";"";""
"Kabyle";"Unité 3";"À la maison — Axxam";"Atay";"Thé";"mot";"arabe";"";"voyageur";"atay.mp3";"l11 l12 l17";"";""
"Kabyle";"Unité 6";"Les couleurs — Initen";"Awraɣ";"Jaune";"mot";"";"";"amazigh";"awragh.mp3";"l22 l23";"";""
"Kabyle";"Unité 14";"Au travail — Axeddim";"Axeddam";"Le travailleur";"mot";"arabe";"";"arabe";"axeddam.mp3";"l46";"";""
"Kabyle";"Unité 14";"Au travail — Axeddim";"Axeddim";"Le travail";"mot";"arabe";"Tawuri";"arabe";"axeddim.mp3";"l46 l49";"";""
"Kabyle";"Unité 3";"À la maison — Axxam";"Axxam";"Maison";"mot";"";"";"amazigh";"axxam.mp3";"l10 l12 l17";"";""
"Kabyle";"Unité 6";"Les couleurs — Initen";"Azeggaɣ";"Rouge";"mot";"";"";"amazigh";"azeggagh.mp3";"l21 l23 l35";"";""
"Kabyle";"Unité 6";"Les couleurs — Initen";"Azegzaw";"Vert";"mot";"";"";"amazigh";"azegzaw.mp3";"l21 l23";"";""
"Kabyle";"Unité 12";"Le temps qui passe";"Azekka";"Demain";"mot";"";"";"amazigh";"azekka.mp3";"l41 l45";"";""
"Kabyle";"Unité 7";"Au marché — Ssuq";"Aẓemmur";"Olives";"mot";"";"";"amazigh";"azemmur.mp3";"l25";"";""
"Kabyle";"Unité 1";"Les salutations — Azul !";"Azul";"Bonjour";"mot";"";"";"amazigh";"azul.mp3";"l1 l3 l5 l7 l8 l9";"";""
"Kabyle";"Unité 1";"Les salutations — Azul !";"Azul fell-ak";"Bonjour à toi";"expression";"";"";"amazigh";"azul-fell-ak.mp3";"l1 l4";"";""
"Kabyle";"Unité 4";"La famille & les phrases";"Azul, amek telliḍ ?";"Bonjour, comment vas-tu ?";"expression";"";"";"amazigh";"azul-amek-tellid.mp3";"l16";"";""
"Kabyle";"Unité 15";"Au sport — Addal";"Azzel !";"Cours !";"expression";"";"";"amazigh";"azzel.mp3";"l51";"";""
"Kabyle";"Unité 4";"La famille & les phrases";"Baba";"Père";"mot";"";"";"amazigh";"baba.mp3";"l14 l15 l17";"";""
"Kabyle";"Unité 13";"Parler & agir";"D acu-yagi ?";"Qu’est-ce que c’est ?";"expression";"";"";"amazigh";"d-acu-yagi.mp3";"l44";"";""
"Kabyle";"Unité 13";"Parler & agir";"Ečč !";"Mange !";"expression";"";"";"amazigh";"ecc.mp3";"l43 l45";"";""
"Kabyle";"Unité 15";"Au sport — Addal";"Ɛumm !";"Nage !";"expression";"arabe";"";"arabe";"eumm.mp3";"l51";"";""
"Kabyle";"Unité 4";"La famille & les phrases";"Gma";"Frère";"mot";"";"";"amazigh";"gma.mp3";"l14 l15";"";""
"Kabyle";"Unité 12";"Le temps qui passe";"Iḍ";"Nuit";"mot";"";"";"amazigh";"id.mp3";"l39 l40";"";""
"Kabyle";"Unité 12";"Le temps qui passe";"Iḍelli";"Hier";"mot";"";"";"amazigh";"idelli.mp3";"l41";"";""
"Kabyle";"Unité 7";"Au marché — Ssuq";"Idrimen";"Argent";"mot";"arabe";"";"voyageur";"idrimen.mp3";"l26";"";""
"Kabyle";"Unité 1";"Les salutations — Azul !";"Ih";"Oui";"mot";"";"";"amazigh";"ih.mp3";"l2 l3 l5 l6 l9";"";""
"Kabyle";"Unité 15";"Au sport — Addal";"Ilemẓi";"Le jeune homme";"mot";"";"";"amazigh";"ilemzi.mp3";"l52";"";""
"Kabyle";"Unité 13";"Parler & agir";"Kečč";"Toi (à un homme)";"mot";"";"";"amazigh";"kecc.mp3";"l42";"";""
"Kabyle";"Unité 13";"Parler & agir";"Kemm";"Toi (à une femme)";"mot";"";"";"amazigh";"kemm.mp3";"l42";"";""
"Kabyle";"Unité 5";"Les nombres — Amḍan";"Kkuẓ";"Quatre";"mot";"";"";"amazigh";"kkuz.mp3";"l19 l20";"";""
"Kabyle";"Unité 5";"Les nombres — Amḍan";"Kraḍ";"Trois";"mot";"";"";"amazigh";"krad.mp3";"l18 l20";"";""
"Kabyle";"Unité 1";"Les salutations — Azul !";"Labas ?";"Ça va ? / Ça va (bien) / Ça va";"expression";"arabe";"Amek telliḍ ?";"arabe";"labas.mp3";"l3 l4 l6 l9";"";""
"Kabyle";"Unité 12";"Le temps qui passe";"Melmi ?";"Quand ?";"expression";"";"";"amazigh";"melmi.mp3";"l41";"";""
"Kabyle";"Unité 13";"Parler & agir";"Nekk";"Moi";"mot";"";"";"amazigh";"nekk.mp3";"l42 l45";"";""
"Kabyle";"Unité 13";"Parler & agir";"Netta";"Lui";"mot";"";"";"amazigh";"netta.mp3";"l42";"";""
"Kabyle";"Unité 13";"Parler & agir";"Nettat";"Elle";"mot";"";"";"amazigh";"nettat.mp3";"l42";"";""
"Kabyle";"Unité 13";"Parler & agir";"Ṛuḥ !";"Va ! / Pars ! / Va !";"expression";"";"";"arabe";"ruh.mp3";"l43 l45";"";""
"Kabyle";"Unité 13";"Parler & agir";"Semmeḥ-iyi";"Excuse-moi";"mot";"arabe";"Suref-iyi";"arabe";"semmeh-iyi.mp3";"l44";"";""
"Kabyle";"Unité 5";"Les nombres — Amḍan";"Semmus";"Cinq";"mot";"";"";"amazigh";"semmus.mp3";"l19 l20 l35";"";""
"Kabyle";"Unité 13";"Parler & agir";"Sew !";"Bois !";"expression";"";"";"amazigh";"sew.mp3";"l43 l45";"";""
"Kabyle";"Unité 13";"Parler & agir";"Sew atay";"Bois du thé";"expression";"";"";"amazigh";"sew-atay.mp3";"l43";"";""
"Kabyle";"Unité 5";"Les nombres — Amḍan";"Sin";"Deux";"mot";"";"";"amazigh";"sin.mp3";"l18 l20";"";""
"Kabyle";"Unité 7";"Au marché — Ssuq";"Ssuq";"Marché / Le marché";"mot";"arabe";"";"arabe";"ssuq.mp3";"l24 l25 l26 l35 l48";"";""
"Kabyle";"Unité 3";"À la maison — Axxam";"Taddart";"Village";"mot";"";"";"amazigh";"taddart.mp3";"l13";"";""
"Kabyle";"Unité 8";"La météo — Tignewt";"Tafukt";"Soleil";"mot";"";"";"amazigh";"tafukt.mp3";"l27 l29 l35";"";""
"Kabyle";"Unité 15";"Au sport — Addal";"Takurt";"Le ballon";"mot";"";"";"amazigh";"takurt.mp3";"l50 l53";"";""
"Kabyle";"Unité 12";"Le temps qui passe";"Tameddit";"Le soir";"mot";"";"";"amazigh";"tameddit.mp3";"l40";"";""
"Kabyle";"Unité 7";"Au marché — Ssuq";"Tament";"Miel";"mot";"";"";"amazigh";"tament.mp3";"l25 l26 l35";"";""
"Kabyle";"Unité 11";"Le corps & les gens";"Tameṭṭut";"Femme";"mot";"";"";"amazigh";"tamettut.mp3";"l37 l45";"";""
"Kabyle";"Unité 14";"Au travail — Axeddim";"Tanarit";"Le bureau";"mot";"";"";"neo";"tanarit.mp3";"l48 l49";"";""
"Kabyle";"Unité 1";"Les salutations — Azul !";"Tanemmirt";"Merci";"mot";"";"";"amazigh";"tanemmirt.mp3";"l2 l3 l7 l9";"";""
"Kabyle";"Unité 3";"À la maison — Axxam";"Tanemmirt aṭas";"Merci beaucoup";"expression";"à trancher";"";"amazigh";"tanemmirt-atas.mp3";"l12 l16 l17";"";""
"Kabyle";"Unité 12";"Le temps qui passe";"Tanezzayt";"Le matin";"mot";"";"";"amazigh";"tanezzayt.mp3";"l40";"";""
"Kabyle";"Unité 11";"Le corps & les gens";"Taqcict";"Fille";"mot";"";"";"amazigh";"taqcict.mp3";"l37 l38";"";""
"Kabyle";"Unité 14";"Au travail — Axeddim";"Tawuri";"Le travail (mot amazigh)";"mot";"";"";"amazigh";"tawuri.mp3";"l46";"";""
"Kabyle";"Unité 3";"À la maison — Axxam";"Tawwurt";"Porte";"mot";"";"";"amazigh";"tawwurt.mp3";"l10 l12";"";""
"Kabyle";"Unité 15";"Au sport — Addal";"Tazzla";"La course";"mot";"";"";"amazigh";"tazzla.mp3";"l51 l53";"";""
"Kabyle";"Unité 15";"Au sport — Addal";"Tilemẓit";"La jeune fille";"mot";"";"";"amazigh";"tilemzit.mp3";"l52";"";""
"Kabyle";"Unité 14";"Au travail — Axeddim";"Tiwizi";"L’entraide";"mot";"";"";"amazigh";"tiwizi.mp3";"l49";"";""
"Kabyle";"Unité 13";"Parler & agir";"Ttxil-k";"S’il te plaît";"mot";"à trancher";"";"amazigh";"ttxil-k.mp3";"l44";"";""
"Kabyle";"Unité 12";"Le temps qui passe";"Tura";"Maintenant";"mot";"";"";"amazigh";"tura.mp3";"l41";"";""
"Kabyle";"Unité 11";"Le corps & les gens";"Ul";"Cœur";"mot";"";"";"amazigh";"ul.mp3";"l36";"";""
"Kabyle";"Unité 13";"Parler & agir";"Ur fhimeɣ ara";"Je ne comprends pas";"expression";"";"";"amazigh";"ur-fhimegh-ara.mp3";"l44 l45";"";""
"Kabyle";"Unité 15";"Au sport — Addal";"Urar";"Le jeu";"mot";"";"";"amazigh";"urar.mp3";"l50 l53";"";""
"Kabyle";"Unité 4";"La famille & les phrases";"Weltma";"Sœur";"mot";"";"";"amazigh";"weltma.mp3";"l15";"";""
"Kabyle";"Unité 14";"Au travail — Axeddim";"Xeddmeɣ deg wexxam";"Je travaille à la maison";"expression";"";"";"amazigh";"xeddmegh-deg-wexxam.mp3";"l48";"";""
"Kabyle";"Unité 4";"La famille & les phrases";"Yemma";"Mère";"mot";"";"";"amazigh";"yemma.mp3";"l14";"";""
"Kabyle";"Unité 5";"Les nombres — Amḍan";"Yiwen";"Un";"mot";"";"";"amazigh";"yiwen.mp3";"l18 l20";"";""
"Tachelhit";"Unité 4";"Au sport — Addal";"Aḍar";"Le pied";"mot";"";"";"amazigh";"shi/adar.mp3";"shi16 shi17";"";""
"Tachelhit";"Unité 4";"Au sport — Addal";"Addal";"Le sport";"mot";"";"";"neo";"shi/addal.mp3";"shi14 shi17";"";""
"Tachelhit";"Unité 1";"Tifawin — les salutations";"Afak";"S’il te plaît";"mot";"arabe";"";"arabe";"shi/afak.mp3";"shi3";"";""
"Tachelhit";"Unité 3";"Au travail — Tawuri";"Afllaḥ";"Le paysan";"mot";"arabe";"";"arabe";"shi/afllah.mp3";"shi11 shi13";"";""
"Tachelhit";"Unité 4";"Au sport — Addal";"Afus";"La main";"mot";"";"";"amazigh";"shi/afus.mp3";"shi16";"";""
"Tachelhit";"Unité 2";"Les premiers mots";"Aɣrum";"Le pain";"mot";"";"";"amazigh";"shi/aghrum.mp3";"shi7";"";""
"Tachelhit";"Unité 1";"Tifawin — les salutations";"Ak isrbḥ rbbi";"Merci (que Dieu te fasse réussir)";"expression";"arabe";"Tanmmirt";"arabe";"shi/ak-isrbh-rbbi.mp3";"shi3";"";""
"Tachelhit";"Unité 2";"Les premiers mots";"Aman";"L’eau";"mot";"";"";"amazigh";"shi/aman.mp3";"shi7";"";""
"Tachelhit";"Unité 3";"Au travail — Tawuri";"Anlmad";"L’élève";"mot";"";"";"neo";"shi/anlmad.mp3";"shi11";"";""
"Tachelhit";"Unité 3";"Au travail — Tawuri";"Aslmad";"L’enseignant";"mot";"";"";"neo";"shi/aslmad.mp3";"shi11 shi13";"";""
"Tachelhit";"Unité 3";"Au travail — Tawuri";"Axddam";"Le travailleur";"mot";"arabe";"";"arabe";"shi/axddam.mp3";"shi10 shi13";"";""
"Tachelhit";"Unité 1";"Tifawin — les salutations";"Azkka";"Demain";"mot";"";"";"amazigh";"shi/azkka.mp3";"shi5";"";""
"Tachelhit";"Unité 4";"Au sport — Addal";"Azzl !";"Cours !";"expression";"";"";"amazigh";"shi/azzl.mp3";"shi15";"";""
"Tachelhit";"Unité 2";"Les premiers mots";"Baba";"Papa";"mot";"";"";"amazigh";"shi/baba.mp3";"shi6";"";""
"Tachelhit";"Unité 1";"Tifawin — les salutations";"Brrk";"Bienvenue";"mot";"arabe";"Ansuf";"arabe";"shi/brrk.mp3";"shi5";"";""
"Tachelhit";"Unité 1";"Tifawin — les salutations";"Bslama";"Au revoir";"mot";"arabe";"";"arabe";"shi/bslama.mp3";"shi5";"";""
"Tachelhit";"Unité 3";"Au travail — Tawuri";"Igr";"Le champ";"mot";"";"";"amazigh";"shi/igr.mp3";"shi12 shi13";"";""
"Tachelhit";"Unité 2";"Les premiers mots";"Immi";"Maman";"mot";"";"";"amazigh";"shi/immi.mp3";"shi6";"";""
"Tachelhit";"Unité 4";"Au sport — Addal";"Ixf";"La tête";"mot";"";"";"amazigh";"shi/ixf.mp3";"shi16 shi17";"";""
"Tachelhit";"Unité 2";"Les premiers mots";"Kkuẓ";"Quatre";"mot";"";"";"amazigh";"shi/kkuz.mp3";"shi8";"";""
"Tachelhit";"Unité 2";"Les premiers mots";"Kraḍ";"Trois";"mot";"";"";"amazigh";"shi/krad.mp3";"shi8";"";""
"Tachelhit";"Unité 1";"Tifawin — les salutations";"Labas";"Ça va";"mot";"arabe";"";"arabe";"shi/labas.mp3";"shi4";"";""
"Tachelhit";"Unité 1";"Tifawin — les salutations";"Labas, lḥamdulillah";"";"expression";"à trancher";"";"arabe";"shi/labas-lhamdulillah.mp3";"shi4";"";""
"Tachelhit";"Unité 3";"Au travail — Tawuri";"Lxdmt";"Le travail (mot arabe)";"mot";"arabe";"Tawuri";"arabe";"shi/lxdmt.mp3";"shi10";"";""
"Tachelhit";"Unité 1";"Tifawin — les salutations";"Manzakin ?";"Comment vas-tu ?";"expression";"";"";"amazigh";"shi/manzakin.mp3";"shi4";"";""
"Tachelhit";"Unité 2";"Les premiers mots";"Sin";"Deux";"mot";"";"";"amazigh";"shi/sin.mp3";"shi8";"";""
"Tachelhit";"Unité 2";"Les premiers mots";"Smmus";"Cinq";"mot";"";"";"amazigh";"shi/smmus.mp3";"shi8";"";""
"Tachelhit";"Unité 1";"Tifawin — les salutations";"Ssalamu ɛlikum";"Bonjour (la paix sur vous)";"expression";"arabe";"Azul";"arabe";"shi/ssalamu-elikum.mp3";"shi1";"";""
"Tachelhit";"Unité 3";"Au travail — Tawuri";"Ssuq";"Le marché";"mot";"arabe";"";"arabe";"shi/ssuq.mp3";"shi12";"";""
"Tachelhit";"Unité 3";"Au travail — Tawuri";"Taḥanut";"La boutique";"mot";"arabe";"";"arabe";"shi/tahanut.mp3";"shi12 shi13";"";""
"Tachelhit";"Unité 4";"Au sport — Addal";"Takurt";"Le ballon";"mot";"";"";"amazigh";"shi/takurt.mp3";"shi14 shi17";"";""
"Tachelhit";"Unité 1";"Tifawin — les salutations";"Tanmmirt";"Merci";"mot";"";"";"amazigh";"shi/tanmmirt.mp3";"shi3";"";""
"Tachelhit";"Unité 3";"Au travail — Tawuri";"Tawuri";"Le travail";"mot";"";"";"amazigh";"shi/tawuri.mp3";"shi10 shi13 shi17";"";""
"Tachelhit";"Unité 4";"Au sport — Addal";"Tazzla";"La course";"mot";"";"";"amazigh";"shi/tazzla.mp3";"shi15 shi17";"";""
"Tachelhit";"Unité 1";"Tifawin — les salutations";"Tifawin";"Bonjour (le matin) / Bonjour";"mot";"";"";"amazigh";"shi/tifawin.mp3";"shi1 shi2";"";""
"Tachelhit";"Unité 2";"Les premiers mots";"Tigmmi";"La maison";"mot";"";"";"amazigh";"shi/tigmmi.mp3";"shi7 shi9";"";""
"Tachelhit";"Unité 3";"Au travail — Tawuri";"Ṭṭbib";"Le médecin";"mot";"arabe";"Amejjay";"arabe";"shi/ttbib.mp3";"shi11";"";""
"Tachelhit";"Unité 1";"Tifawin — les salutations";"Uhu";"Non";"mot";"";"";"amazigh";"shi/uhu.mp3";"shi2";"";""
"Tachelhit";"Unité 4";"Au sport — Addal";"Urar";"Le jeu";"mot";"";"";"amazigh";"shi/urar.mp3";"shi14 shi15 shi17";"";""
"Tachelhit";"Unité 1";"Tifawin — les salutations";"Wa ɛlikum ssalam";"Et sur vous la paix (réponse)";"expression";"arabe";"Azul";"arabe";"shi/wa-elikum-ssalam.mp3";"shi1";"";""
"Tachelhit";"Unité 1";"Tifawin — les salutations";"Yah";"Oui";"mot";"à trancher";"";"amazigh";"shi/yah.mp3";"shi2";"";""
"Tachelhit";"Unité 2";"Les premiers mots";"Yan";"Un";"mot";"";"";"amazigh";"shi/yan.mp3";"shi8";"";""
"Tarifit";"Unité 4";"Au sport — Ryaḍa";"Addal";"Le sport (mot amazigh) / Le sport";"mot";"";"";"neo";"rif/addal.mp3";"rif16 rif17";"";""
"Tarifit";"Unité 3";"Au travail — Lxedmet";"Afellaḥ";"Le paysan";"mot";"arabe";"";"arabe";"rif/afellah.mp3";"rif11 rif13";"";""
"Tarifit";"Unité 2";"Les premiers mots";"Aɣrum";"Le pain";"mot";"";"";"amazigh";"rif/aghrum.mp3";"rif7";"";""
"Tarifit";"Unité 2";"Les premiers mots";"Aman";"L’eau";"mot";"";"";"amazigh";"rif/aman.mp3";"rif7";"";""
"Tarifit";"Unité 2";"Les premiers mots";"Aryaz";"L’homme";"mot";"";"";"amazigh";"rif/aryaz.mp3";"rif9";"";""
"Tarifit";"Unité 3";"Au travail — Lxedmet";"Axeddam";"Le travailleur";"mot";"arabe";"";"arabe";"rif/axeddam.mp3";"rif10 rif13";"";""
"Tarifit";"Unité 4";"Au sport — Ryaḍa";"Azzeř !";"Cours !";"expression";"";"";"amazigh";"rif/azzer.mp3";"rif15 rif17";"";""
"Tarifit";"Unité 1";"Ssalamu ɛlikum — les salutations";"B-essalama";"Au revoir";"mot";"arabe";"";"arabe";"rif/b-essalama.mp3";"rif5";"";""
"Tarifit";"Unité 2";"Les premiers mots";"Baba";"Papa";"mot";"";"";"amazigh";"rif/baba.mp3";"rif6 rif7";"";""
"Tarifit";"Unité 1";"Ssalamu ɛlikum — les salutations";"Barek llahu fik";"Merci (que Dieu te bénisse) / Merci";"expression";"arabe";"Tanemmirt";"arabe";"rif/barek-llahu-fik.mp3";"rif3 rif4";"";""
"Tarifit";"Unité 1";"Ssalamu ɛlikum — les salutations";"Ɛafak";"S’il te plaît";"mot";"arabe";"";"arabe";"rif/eafak.mp3";"rif3 rif5";"";""
"Tarifit";"Unité 3";"Au travail — Lxedmet";"Iger";"Le champ";"mot";"";"";"amazigh";"rif/iger.mp3";"rif12 rif13 rif17";"";""
"Tarifit";"Unité 2";"Les premiers mots";"Ijjen";"Un";"mot";"";"";"amazigh";"rif/ijjen.mp3";"rif8";"";""
"Tarifit";"Unité 4";"Au sport — Ryaḍa";"Lkuṛa";"Le ballon";"mot";"arabe";"Takurt";"arabe";"rif/lkura.mp3";"rif14 rif17";"";""
"Tarifit";"Unité 1";"Ssalamu ɛlikum — les salutations";"Lla";"Non";"mot";"";"";"amazigh";"rif/lla.mp3";"rif2";"";""
"Tarifit";"Unité 3";"Au travail — Lxedmet";"Lmɛellem";"Le patron, le maître artisan";"mot";"arabe";"";"arabe";"rif/lmeellem.mp3";"rif11";"";""
"Tarifit";"Unité 3";"Au travail — Lxedmet";"Lxedmet";"Le travail";"mot";"arabe";"Tawuri";"arabe";"rif/lxedmet.mp3";"rif10 rif13 rif17";"";""
"Tarifit";"Unité 1";"Ssalamu ɛlikum — les salutations";"Mamec teǧǧid ?";"Comment vas-tu ?";"expression";"";"";"amazigh";"rif/mamec-teggid.mp3";"rif4";"";""
"Tarifit";"Unité 1";"Ssalamu ɛlikum — les salutations";"Marḥba";"Bienvenue";"mot";"arabe";"Ansuf";"arabe";"rif/marhba.mp3";"rif1 rif2";"";""
"Tarifit";"Unité 1";"Ssalamu ɛlikum — les salutations";"Mliḥ";"Ça va bien";"mot";"arabe";"";"arabe";"rif/mlih.mp3";"rif4";"";""
"Tarifit";"Unité 1";"Ssalamu ɛlikum — les salutations";"Mliḥ, l-ḥamdu li-llah";"";"expression";"à trancher";"";"arabe";"rif/mlih-l-hamdu-li-llah.mp3";"rif4";"";""
"Tarifit";"Unité 4";"Au sport — Ryaḍa";"Ryaḍa";"Le sport / Le sport (arabe)";"mot";"arabe";"Addal";"arabe";"rif/ryada.mp3";"rif14 rif16 rif17";"";""
"Tarifit";"Unité 1";"Ssalamu ɛlikum — les salutations";"Ssalamu ɛlikum";"Bonjour (la paix sur vous)";"expression";"arabe";"Azul";"arabe";"rif/ssalamu-elikum.mp3";"rif1";"";""
"Tarifit";"Unité 3";"Au travail — Lxedmet";"Ssuq";"Le marché";"mot";"arabe";"";"arabe";"rif/ssuq.mp3";"rif12 rif13";"";""
"Tarifit";"Unité 3";"Au travail — Lxedmet";"Taḥanut";"La boutique";"mot";"arabe";"";"arabe";"rif/tahanut.mp3";"rif12 rif13";"";""
"Tarifit";"Unité 4";"Au sport — Ryaḍa";"Takurt";"Le ballon (forme amazighe) / Le ballon";"mot";"";"";"amazigh";"rif/takurt.mp3";"rif16";"";""
"Tarifit";"Unité 4";"Au sport — Ryaḍa";"Tazzřa";"La course";"mot";"";"";"amazigh";"rif/tazzra.mp3";"rif15 rif17";"";""
"Tarifit";"Unité 1";"Ssalamu ɛlikum — les salutations";"Tiwecca";"Demain";"mot";"";"";"amazigh";"rif/tiwecca.mp3";"rif5";"";""
"Tarifit";"Unité 2";"Les premiers mots";"Tlata";"Trois";"mot";"arabe";"Kraḍ";"arabe";"rif/tlata.mp3";"rif8";"";""
"Tarifit";"Unité 2";"Les premiers mots";"Tnayen";"Deux";"mot";"arabe";"Sin";"arabe";"rif/tnayen.mp3";"rif8";"";""
"Tarifit";"Unité 3";"Au travail — Lxedmet";"Ṭṭbib";"Le médecin";"mot";"arabe";"Amejjay";"arabe";"rif/ttbib.mp3";"rif11 rif13";"";""
"Tarifit";"Unité 2";"Les premiers mots";"Uř";"Le cœur";"mot";"";"";"amazigh";"rif/ur.mp3";"rif9";"";""
"Tarifit";"Unité 4";"Au sport — Ryaḍa";"Uraren";"Les jeux";"mot";"";"";"amazigh";"rif/uraren.mp3";"rif14 rif15 rif17";"";""
"Tarifit";"Unité 1";"Ssalamu ɛlikum — les salutations";"Wa ɛlikum ssalam";"Et sur vous la paix (réponse)";"expression";"arabe";"Azul";"arabe";"rif/wa-elikum-ssalam.mp3";"rif1";"";""
"Tarifit";"Unité 1";"Ssalamu ɛlikum — les salutations";"Wah";"Oui";"mot";"à trancher";"";"arabe";"rif/wah.mp3";"rif2";"";""
"Tarifit";"Unité 2";"Les premiers mots";"Yemma";"Maman";"mot";"";"";"amazigh";"rif/yemma.mp3";"rif6";"";""
"Tamazight (Atlas)";"Unité 4";"Au sport — Addal";"Aḍar";"Le pied";"mot";"";"";"amazigh";"tzm/adar.mp3";"tzm16 tzm17";"";""
"Tamazight (Atlas)";"Unité 4";"Au sport — Addal";"Addal";"Le sport";"mot";"";"";"neo";"tzm/addal.mp3";"tzm14 tzm17";"";""
